safe,card_currency,recipient_address,recipient_label,recipient_class,asset,amount_out,usd_out,n_transfers,first_blk,last_blk,balance_before,balance_now,usd_balance_now
0x915e683649ab7743f8145d0536cf5168959c9159,EURe,0x81ba8a2b895d30280bca199c2ff75f3f058d4c6c,exploiter-known,attacker,EURe,22871.78120934033,26665.39,1,46468862,46468862,23509.78120934033,0.0,0.0
0xf42626f2f1010438a21196fa7217b9f340082c76,EURe,0xd43d0660601e613f9097d5c75cd04ee0c19e6f65,exploiter-emerging-2,attacker,GNO,119.78460068650105,13769.89,1,46473991,46473991,119.69417392970867,0.0,0.0
0x19683fec2b521cd3fa4fdaf60b6f498f0b4d228d,EURe,0x81ba8a2b895d30280bca199c2ff75f3f058d4c6c,exploiter-known,attacker,GNO,109.07324635816819,12538.56,1,46468862,46468862,108.4484760398481,0.0,0.0
0xa1b17b06a380f7ffb5dcb90eb1e4b237f6376fd8,EURe,0xd43d0660601e613f9097d5c75cd04ee0c19e6f65,exploiter-emerging-2,attacker,GNO,108.71528719452758,12497.41,1,46473990,46473990,108.14391724485495,0.0,0.0
0x243445352c2d0479dd860878be27364346ed5871,EURe,0x81ba8a2b895d30280bca199c2ff75f3f058d4c6c,exploiter-known,attacker,GNO,108.09615860866913,12426.24,1,46468862,46468862,108.09615860866913,0.0,0.0
0x1e8259b2c00ecc65b5182b8a4e7791e53fa5278c,EURe,0x81ba8a2b895d30280bca199c2ff75f3f058d4c6c,exploiter-known,attacker,EURe,10547.96,12297.49,1,46468862,46468862,10547.96,0.0,0.0
0xd3b2b6a83acc8495412f91fdf6fe3917b5e20efa,USDCe,0x81ba8a2b895d30280bca199c2ff75f3f058d4c6c,exploiter-known,attacker,GNO,104.05721938280875,11961.94,1,46468862,46468862,103.90015067739519,0.0,0.0
0xaad05adc6c1eeda32a33b066e45cad3d886db87e,EURe,0x81ba8a2b895d30280bca199c2ff75f3f058d4c6c,exploiter-known,attacker,GNO,102.4995882318987,11782.88,1,46468862,46468862,101.87481791357861,0.0,0.0
0xe1de155610bb5c85350ada3847c0d6f51ddbafc7,GBPe,0x81ba8a2b895d30280bca199c2ff75f3f058d4c6c,exploiter-known,attacker,GNO,102.32142997636481,11762.4,1,46468862,46468862,102.14168216991318,0.0,0.0
0x7fabe2652aa7f692ed6f05ac5c14b142284343e7,EURe,0x81ba8a2b895d30280bca199c2ff75f3f058d4c6c,exploiter-known,attacker,GNO,102.15643208030214,11743.44,1,46468862,46468862,101.90833328781598,0.0,0.0
0xa1b17b06a380f7ffb5dcb90eb1e4b237f6376fd8,EURe,0xd43d0660601e613f9097d5c75cd04ee0c19e6f65,exploiter-emerging-2,attacker,EURe,9965.210633560775,11618.08,1,46473990,46473990,10433.940633560775,0.0,0.0
0x214f2139ba62920e0193121d763ff3134980f509,EURe,0x81ba8a2b895d30280bca199c2ff75f3f058d4c6c,exploiter-known,attacker,GNO,100.31335029226794,11531.56,1,46468862,46468862,100.2929727835656,0.0,0.0
0x04745766f73a2c9777d498ef10a6724cdca46440,EURe,0x81ba8a2b895d30280bca199c2ff75f3f058d4c6c,exploiter-known,attacker,GNO,100.12218492218847,11509.59,1,46468862,46468862,100.00650245004832,0.0,0.0
0x692a3999016320618c1e5341631c7bd26bd0b3d1,EURe,0x81ba8a2b895d30280bca199c2ff75f3f058d4c6c,exploiter-known,attacker,GNO,100.06608881925854,11503.14,1,46468862,46468862,100.01916606927142,0.0,0.0
0xb73bf847ff2d90ff69ac24810babd64fb1358e76,EURe,0x81ba8a2b895d30280bca199c2ff75f3f058d4c6c,exploiter-known,attacker,GNO,100.0137425874081,11497.12,1,46468863,46468863,100.0137425874081,0.0,0.0
0xfeccde37e24e1c2fe6244f39379bdfe374dad6c3,EURe,0x81ba8a2b895d30280bca199c2ff75f3f058d4c6c,exploiter-known,attacker,GNO,100.0,11495.54,1,46468862,46468862,100.0,0.0,0.0
0xa1c38b5815be960896e569554a43ac28bcc17d85,EURe,0x81ba8a2b895d30280bca199c2ff75f3f058d4c6c,exploiter-known,attacker,GNO,100.0,11495.54,1,46468862,46468862,100.0,0.0,0.0
0x6a94b6094faf9427d58f5005f6ec4224d60b541b,EURe,0x81ba8a2b895d30280bca199c2ff75f3f058d4c6c,exploiter-known,attacker,GNO,99.88108560277028,11481.87,1,46468863,46468863,39.724608073975325,0.0,0.0
0x4ab70e9377315131128166c4b7a468785cb2a98d,USDCe,0x81ba8a2b895d30280bca199c2ff75f3f058d4c6c,exploiter-known,attacker,GNO,99.0971792934287,11391.76,1,46468862,46468862,99.0971792934287,0.0,0.0
0x3b8ffb17a79c15e002b21cbbc77507420d2b78eb,EURe,0x81ba8a2b895d30280bca199c2ff75f3f058d4c6c,exploiter-known,attacker,EURe,9434.916982639195,10999.83,1,46468863,46468863,13422.756982639194,0.0,0.0
0xcaf710009a8697c10d12086160596dbc9a5a177d,EURe,0x81ba8a2b895d30280bca199c2ff75f3f058d4c6c,exploiter-known,attacker,EURe,9355.67,10907.44,1,46468863,46468863,9493.43,0.0,0.0
0xe989ecc516793e3a66cb6fbf83365474583ff86f,USDCe,0x81ba8a2b895d30280bca199c2ff75f3f058d4c6c,exploiter-known,attacker,USDC.e,10232.313201,10232.31,1,46468863,46468863,10232.313201,0.0,0.0
0x5e15d6d0792e6e95200b9388be4ca019de0c8362,USDCe,0xf9db86db4ff8ea2a1364544700d076f59edbcc91,exploiter-emerging-1,attacker,USDC.e,9913.948906,9913.95,2,46476871,46477073,9801.418421,0.0,0.0
0x803636a8d8bcfc7477ce07e5b0c4d4022b20dbca,USDCe,0x81ba8a2b895d30280bca199c2ff75f3f058d4c6c,exploiter-known,attacker,USDC.e,8548.352903,8548.35,1,46468863,46468863,8548.352903,0.0,0.0
0x89b02e7670371fe7c0577d383fb7b13d6d412381,EURe,0xe43f519f6595b89743235b90ce910b9b85b39a15,exploiter-emerging-4,attacker,EURe,6159.5811780217555,7181.24,1,46473809,46473809,7562.141178021755,0.0,0.0
0x8ea1d3b49c9823f1a7d43df04f51739e23b513d8,EURe,0x81ba8a2b895d30280bca199c2ff75f3f058d4c6c,exploiter-known,attacker,EURe,5788.985027240503,6749.17,1,46470192,46470192,2026.9993991354017,0.0,0.0
0x912a1dc63b7b8066fb6b8df32a75e9b103bee28d,EURe,0x0000000000004f3d8aaf9175fd824cb00ad4bf80,bb1b-controller,attacker,EURe,4775.6973398819655,5567.81,1,46487069,46487069,4899.677339881966,0.0,0.0
0xd938f72ab26bb4cd72d6522cec8186536166801e,USDCe,0x81ba8a2b895d30280bca199c2ff75f3f058d4c6c,exploiter-known,attacker,USDC.e,5500.0,5500.0,1,46470192,46470192,5500.0,0.0,0.0
0xf42626f2f1010438a21196fa7217b9f340082c76,EURe,0xd43d0660601e613f9097d5c75cd04ee0c19e6f65,exploiter-emerging-2,attacker,EURe,4586.912790693086,5347.72,1,46473991,46473991,5282.772790693086,0.0,0.0
0x933b19d170b7f466197e04b05b2343e4cc16236b,USDCe,0x81ba8a2b895d30280bca199c2ff75f3f058d4c6c,exploiter-known,attacker,USDC.e,4960.819419,4960.82,1,46470192,46470192,4960.819419,0.0,0.0
0x5381cbc03a9fd7c2f9b712868ce4c3cad6817f38,EURe,0x81ba8a2b895d30280bca199c2ff75f3f058d4c6c,exploiter-known,attacker,EURe,4164.816910913292,4855.61,1,46470193,46470193,4164.816910913292,0.0,0.0
0xeb4b5bdc37ff8e1c0bdb75db0f327362cb5e78c7,USDCe,0x81ba8a2b895d30280bca199c2ff75f3f058d4c6c,exploiter-known,attacker,USDC.e,4772.35894,4772.36,1,46470193,46470193,4772.35894,0.0,0.0
0x098835b63827d4af13703ae4ebc3b87df4a8a8ed,EURe,0x81ba8a2b895d30280bca199c2ff75f3f058d4c6c,exploiter-known,attacker,EURe,4087.2813445608913,4765.22,1,46470194,46470194,4797.281344560892,0.0,0.0
0x99a641695f9eb28f7435bff0a2c70163d754abdc,USDCe,0x81ba8a2b895d30280bca199c2ff75f3f058d4c6c,exploiter-known,attacker,USDC.e,4765.20308,4765.2,1,46470194,46470194,4765.20308,0.0,0.0
0xbb8fd4e5aca4ec62ea5340c92b08a43875fc3d23,USDCe,0x81ba8a2b895d30280bca199c2ff75f3f058d4c6c,exploiter-known,attacker,GNO,41.4139602019869,4760.76,1,46470192,46470192,41.4139602019869,0.0,0.0
0xcfa75f0b3f14ede43bf14d799277b10a0927f592,USDCe,0x81ba8a2b895d30280bca199c2ff75f3f058d4c6c,exploiter-known,attacker,USDC.e,4756.802285,4756.8,1,46470194,46470194,4756.802285,0.0,0.0
0x1b7db18a63e68fe509fcf591d2e7fb031d707107,USDCe,0x81ba8a2b895d30280bca199c2ff75f3f058d4c6c,exploiter-known,attacker,USDC.e,4704.437954,4704.44,1,46470194,46470194,5548.677954,0.0,0.0
0x26d37e6e92002097e7306d2a02a80817d02f3707,EURe,0x81ba8a2b895d30280bca199c2ff75f3f058d4c6c,exploiter-known,attacker,EURe,4006.640459439305,4671.2,1,46470195,46470195,4011.090459439305,0.0,0.0
0x5560c828618f77ec7e285cd1a39bd42380e43add,USDCe,0x81ba8a2b895d30280bca199c2ff75f3f058d4c6c,exploiter-known,attacker,USDC.e,4663.252721,4663.25,1,46470195,46470195,6362.422721,0.0,0.0
0xe69c0cda6da96b0e3e935ad39bac72731e09a6e5,USDCe,0x81ba8a2b895d30280bca199c2ff75f3f058d4c6c,exploiter-known,attacker,USDC.e,4661.838671,4661.84,1,46470195,46470195,4269.731273,0.0,0.0
0xb51e7ef94d60b06f472c6e1e70d960a0ac03a864,EURe,0x81ba8a2b895d30280bca199c2ff75f3f058d4c6c,exploiter-known,attacker,EURe,3956.3317137114004,4612.55,1,46470196,46470196,4062.2617137114007,0.0,0.0
0xe67754366f8b297ea859ebd1af16a98329612758,USDCe,0x81ba8a2b895d30280bca199c2ff75f3f058d4c6c,exploiter-known,attacker,USDC.e,4596.923246,4596.92,1,46470196,46470196,4596.923246,0.0,0.0
